sample_id,source,split,text,categories_fine,categories_coarse,sentiments,aspect_terms,is_implicit_flags,num_aspects,has_implicit,has_conflict
semeval16_train_00000,semeval16,train,"judging from previous posts this used to be a good place , but not any longer .",['place'],['General'],['negative'],['place'],[False],1,False,False
semeval16_train_00001,semeval16,train,"we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",['staff'],['Service'],['negative'],['staff'],[False],1,False,False
semeval16_train_00002,semeval16,train,the food was lousy - too sweet or too salty and the portions tiny .,['food'],['Food'],['negative'],['food'],[False],1,False,False
semeval16_train_00003,semeval16,train,the food was lousy - too sweet or too salty and the portions tiny .,['portions'],['General'],['negative'],['portions'],[False],1,False,False
semeval16_train_00004,semeval16,train,avoid this place !,['place'],['General'],['negative'],['place'],[False],1,False,False
semeval16_train_00005,semeval16,train,"i have eaten at saul , many times , the food is always consistently , outrageously good .",['food'],['Food'],['positive'],['food'],[False],1,False,False
semeval16_train_00006,semeval16,train,saul is the best restaurant on smith street and in brooklyn .,['saul'],['General'],['positive'],['saul'],[False],1,False,False
semeval16_train_00007,semeval16,train,the duck confit is always amazing and the foie gras terrine with figs was out of this world .,['foie gras terrine with figs'],['General'],['positive'],['foie gras terrine with figs'],[False],1,False,False
semeval16_train_00008,semeval16,train,the duck confit is always amazing and the foie gras terrine with figs was out of this world .,['duck confit'],['General'],['positive'],['duck confit'],[False],1,False,False
semeval16_train_00009,semeval16,train,the wine list is interesting and has many good values .,['wine list'],['General'],['positive'],['wine list'],[False],1,False,False
semeval16_train_00010,semeval16,train,i was very disappointed with this restaurant .,['restaurant'],['General'],['negative'],['restaurant'],[False],1,False,False
semeval16_train_00011,semeval16,train,i ve asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,['cart attendant'],['General'],['negative'],['cart attendant'],[False],1,False,False
semeval16_train_00012,semeval16,train,"food was okay , nothing great .",['food'],['Food'],['neutral'],['food'],[False],1,False,False
semeval16_train_00013,semeval16,train,chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,['chow fun'],['General'],['negative'],['chow fun'],[False],1,False,False
semeval16_train_00014,semeval16,train,chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,['pork shu mai'],['General'],['negative'],['pork shu mai'],[False],1,False,False
semeval16_train_00015,semeval16,train,i / we will never go back to this place again .,['place'],['General'],['negative'],['place'],[False],1,False,False
semeval16_train_00016,semeval16,train,"went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !",['fish'],['General'],['positive'],['fish'],[False],1,False,False
semeval16_train_00017,semeval16,train,"service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! !",['service'],['Service'],['positive'],['service'],[False],1,False,False
semeval16_train_00018,semeval16,train,"service was devine , oysters where a sensual as they come , and the price ca n't be beat ! ! !",['oysters'],['General'],['positive'],['oysters'],[False],1,False,False
semeval16_train_00019,semeval16,train,every time in new york i make it a point to visit restaurant saul on smith street .,['restaurant saul'],['General'],['positive'],['restaurant saul'],[False],1,False,False
semeval16_train_00020,semeval16,train,"everything is always cooked to perfection , the service is excellent , the decor cool and understated .",['service'],['Service'],['positive'],['service'],[False],1,False,False
semeval16_train_00021,semeval16,train,"everything is always cooked to perfection , the service is excellent , the decor cool and understated .",['decor'],['General'],['positive'],['decor'],[False],1,False,False
semeval16_train_00022,semeval16,train,i had the duck breast special on my last visit and it was incredible .,['duck breast special'],['General'],['positive'],['duck breast special'],[False],1,False,False
semeval16_train_00023,semeval16,train,"the food is very average ... the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",['food'],['Food'],['negative'],['food'],[False],1,False,False
semeval16_train_00024,semeval16,train,"the food is very average ... the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .",['thai fusion stuff'],['General'],['negative'],['thai fusion stuff'],[False],1,False,False
semeval16_train_00025,semeval16,train,the only thing i moderately enjoyed was their grilled chicken special with edamame puree .,['grilled chicken special with edamame puree'],['General'],['positive'],['grilled chicken special with edamame puree'],[False],1,False,False
semeval16_train_00026,semeval16,train,i had never had edamame pureed before but i thought it was innovative and tasty ( could 've used a bit more salt ) .,['edamame pureed'],['General'],['positive'],['edamame pureed'],[False],1,False,False
semeval16_train_00027,semeval16,train,"the decor is night tho ... but they really need to clean that vent in the ceiling ... its quite un - appetizing , and kills your effort to make this place look sleek and modern .",['place'],['General'],['negative'],['place'],[False],1,False,False
semeval16_train_00028,semeval16,train,"the decor is night tho ... but they really need to clean that vent in the ceiling ... its quite un - appetizing , and kills your effort to make this place look sleek and modern .",['decor'],['General'],['positive'],['decor'],[False],1,False,False
semeval16_train_00029,semeval16,train,"the decor is night tho ... but they really need to clean that vent in the ceiling ... its quite un - appetizing , and kills your effort to make this place look sleek and modern .",['vent'],['General'],['negative'],['vent'],[False],1,False,False
semeval16_train_00030,semeval16,train,"their sake list was extensive , but we were looking for purple haze , which was n't listed but made for us upon request !",['sake list'],['General'],['positive'],['sake list'],[False],1,False,False
semeval16_train_00031,semeval16,train,"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",['spicy tuna roll'],['General'],['positive'],['spicy tuna roll'],[False],1,False,False
semeval16_train_00032,semeval16,train,"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",['rock shrimp tempura'],['General'],['positive'],['rock shrimp tempura'],[False],1,False,False
semeval16_train_00033,semeval16,train,we went around 9:30 on a friday and it had died down a bit by then so the service was great !,['service'],['Service'],['positive'],['service'],[False],1,False,False
semeval16_train_00034,semeval16,train,we love th pink pony .,['pink pony'],['General'],['positive'],['pink pony'],[False],1,False,False
semeval16_train_00035,semeval16,train,the perfect spot .,['spot'],['General'],['positive'],['spot'],[False],1,False,False
semeval16_train_00036,semeval16,train,food -awesome .,['food'],['Food'],['positive'],['food'],[False],1,False,False
semeval16_train_00037,semeval16,train,service - friendly and attentive .,['service'],['Service'],['positive'],['service'],[False],1,False,False
semeval16_train_00038,semeval16,train,ambiance - relaxed and stylish .,['ambiance'],['General'],['positive'],['ambiance'],[False],1,False,False
semeval16_train_00039,semeval16,train,"do n't judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",['place'],['General'],['positive'],['place'],[False],1,False,False
semeval16_train_00040,semeval16,train,the food is decent .,['food'],['Food'],['neutral'],['food'],[False],1,False,False
semeval16_train_00041,semeval16,train,"however , it 's the service that leaves a bad taste in my mouth .",['service'],['Service'],['negative'],['service'],[False],1,False,False
semeval16_train_00042,semeval16,train,"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i.e. make me feel bad asking for trivialities like water , or the check .",['waiter'],['General'],['negative'],['waiter'],[False],1,False,False
semeval16_train_00043,semeval16,train,this place has got to be the best japanese restaurant in the new york area .,['place'],['General'],['positive'],['place'],[False],1,False,False
semeval16_train_00044,semeval16,train,food is great .,['food'],['Food'],['positive'],['food'],[False],1,False,False
semeval16_train_00045,semeval16,train,service is top notch .,['service'],['Service'],['positive'],['service'],[False],1,False,False
semeval16_train_00046,semeval16,train,"i tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .",['sea urchin'],['General'],['positive'],['sea urchin'],[False],1,False,False
semeval16_train_00047,semeval16,train,the sushi seemed pretty fresh and was adequately proportioned .,['sushi'],['General'],['positive'],['sushi'],[False],1,False,False
semeval16_train_00048,semeval16,train,the rice to fish ration was also good -- they did n't try to overpack the rice .,['rice to fish ration'],['General'],['positive'],['rice to fish ration'],[False],1,False,False
semeval16_train_00049,semeval16,train,we took advanatage of the half price sushi deal on saturday so it was well worth it .,['half price sushi deal'],['General'],['positive'],['half price sushi deal'],[False],1,False,False
semeval16_train_00050,semeval16,train,"in the evening , this place attracted a well dressed , with it , ny crowd .",['crowd'],['General'],['positive'],['crowd'],[False],1,False,False
semeval16_train_00051,semeval16,train,the food was well prepared and the service impecable .,['food'],['Food'],['positive'],['food'],[False],1,False,False
semeval16_train_00052,semeval16,train,the food was well prepared and the service impecable .,['service'],['Service'],['positive'],['service'],[False],1,False,False
semeval16_train_00053,semeval16,train,the prix fixe menu is worth every penny and you get more than enough ( both in quantity and quality ) .,['prix fixe menu'],['General'],['positive'],['prix fixe menu'],[False],1,False,False
semeval16_train_00054,semeval16,train,"$ 6 and there is much tasty food , all of it fresh and continually refilled .",['food'],['Food'],['positive'],['food'],[False],1,False,False
semeval16_train_00055,semeval16,train,"i am not a vegetarian but , almost all the dishes were great .",['dishes'],['General'],['positive'],['dishes'],[False],1,False,False
semeval16_train_00056,semeval16,train,"the food here is rather good , but only if you like to wait for it .",['food'],['Food'],['positive'],['food'],[False],1,False,False
semeval16_train_00057,semeval16,train,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",['somosas'],['General'],['positive'],['somosas'],[False],1,False,False
semeval16_train_00058,semeval16,train,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",['chai'],['General'],['positive'],['chai'],[False],1,False,False
semeval16_train_00059,semeval16,train,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",['chole'],['General'],['positive'],['chole'],[False],1,False,False
semeval16_train_00060,semeval16,train,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",['dhosas'],['General'],['negative'],['dhosas'],[False],1,False,False
semeval16_train_00061,semeval16,train,"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",['dhal'],['General'],['negative'],['dhal'],[False],1,False,False
semeval16_train_00062,semeval16,train,"the service varys from day to day- sometimes they 're very nice , and sometimes not .",['service'],['Service'],['negative'],['service'],[False],1,False,False
semeval16_train_00063,semeval16,train,"the kitchen however , is almost always slow .",['kitchen'],['General'],['negative'],['kitchen'],[False],1,False,False
semeval16_train_00064,semeval16,train,"also , specify if you like your food spicy- its rather bland if you do n't .",['food'],['Food'],['negative'],['food'],[False],1,False,False
semeval16_train_00065,semeval16,train,"the ambience is pretty and nice for conversation , so a casual lunch here would probably be best .",['ambience'],['Ambience'],['positive'],['ambience'],[False],1,False,False
semeval16_train_00066,semeval16,train,if you 've ever been along the river in weehawken you have an idea of the top of view the chart house has to offer .,['view'],['General'],['positive'],['view'],[False],1,False,False
semeval16_train_00067,semeval16,train,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,['service'],['Service'],['positive'],['service'],[False],1,False,False
semeval16_train_00068,semeval16,train,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,['food'],['Food'],['positive'],['food'],[False],1,False,False
semeval16_train_00069,semeval16,train,the lava cake dessert was incredible and i recommend it .,['lava cake dessert'],['General'],['positive'],['lava cake dessert'],[False],1,False,False
semeval16_train_00070,semeval16,train,"once you step into cosette , you 're miraculously in a small , off - the - beaten path parisian bistro .",['cosette'],['General'],['positive'],['cosette'],[False],1,False,False
semeval16_train_00071,semeval16,train,"this tiny restaurant is as cozy as it gets , with that certain parisian flair .",['restaurant'],['General'],['positive'],['restaurant'],[False],1,False,False
semeval16_train_00072,semeval16,train,"the food was average to above - average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",['food'],['Food'],['positive'],['food'],[False],1,False,False
semeval16_train_00073,semeval16,train,"the food was average to above - average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",['french onion soup'],['General'],['negative'],['french onion soup'],[False],1,False,False
semeval16_train_00074,semeval16,train,"the food was average to above - average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",['desserts'],['General'],['negative'],['desserts'],[False],1,False,False
semeval16_train_00075,semeval16,train,"however , go for the ambience , and consider the food just a companion for a trip across the world !",['ambience'],['Ambience'],['positive'],['ambience'],[False],1,False,False
semeval16_train_00076,semeval16,train,"however , go for the ambience , and consider the food just a companion for a trip across the world !",['food'],['Food'],['neutral'],['food'],[False],1,False,False
semeval16_train_00077,semeval16,train,the pizza was delivered cold and the cheese was n't even fully melted !,['pizza'],['General'],['negative'],['pizza'],[False],1,False,False
semeval16_train_00078,semeval16,train,the pizza was delivered cold and the cheese was n't even fully melted !,['cheese'],['General'],['negative'],['cheese'],[False],1,False,False
semeval16_train_00079,semeval16,train,the pizza is overpriced and soggy .,['pizza'],['General'],['negative'],['pizza'],[False],1,False,False
