sample_id,source,split,text,categories_fine,categories_coarse,sentiments,aspect_terms,is_implicit_flags,num_aspects,has_implicit,has_conflict
acos_train_00000,acos,train,"judging from previous posts this used to be a good place , but not any longer .",['RESTAURANT#GENERAL'],['General'],['negative'],['place'],[False],1,False,False
acos_train_00001,acos,train,"we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .",['SERVICE#GENERAL'],['Service'],['negative'],['staff'],[False],1,False,False
acos_train_00002,acos,train,"they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .",['SERVICE#GENERAL'],['Service'],['negative'],[None],[True],1,True,False
acos_train_00003,acos,train,the food was lousy - too sweet or too salty and the portions tiny .,"['FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#STYLE_OPTIONS']","['Food', 'Food', 'Food', 'Food']","['negative', 'negative', 'negative', 'negative']","['food', 'food', 'food', 'portions']","[False, False, False, False]",4,False,False
acos_train_00004,acos,train,"after all that , they complained to me about the small tip .",['SERVICE#GENERAL'],['Service'],['negative'],[None],[True],1,True,False
acos_train_00005,acos,train,avoid this place !,['RESTAURANT#GENERAL'],['General'],['negative'],['place'],[False],1,False,False
acos_train_00006,acos,train,"i have eaten at saul , many times , the food is always consistently , outrageously good .",['FOOD#QUALITY'],['Food'],['positive'],['food'],[False],1,False,False
acos_train_00007,acos,train,saul is the best restaurant on smith street and in brooklyn .,['RESTAURANT#GENERAL'],['General'],['positive'],['saul'],[False],1,False,False
acos_train_00008,acos,train,the duck confit is always amazing and the foie gras terrine with figs was out of this world .,"['FOOD#QUALITY', 'FOOD#QUALITY']","['Food', 'Food']","['positive', 'positive']","['foie gras terrine with figs', 'duck confit']","[False, False]",2,False,False
acos_train_00009,acos,train,the wine list is interesting and has many good values .,"['DRINKS#STYLE_OPTIONS', 'DRINKS#PRICES']","['Food', 'Price']","['positive', 'positive']","['wine list', 'wine list']","[False, False]",2,False,False
acos_train_00010,acos,train,"for the price , you can not eat this well in manhattan .","['RESTAURANT#PRICES', 'FOOD#QUALITY']","['Price', 'Food']","['positive', 'positive']","[None, None]","[True, True]",2,True,False
acos_train_00011,acos,train,i was very disappointed with this restaurant .,['RESTAURANT#GENERAL'],['General'],['negative'],['restaurant'],[False],1,False,False
acos_train_00012,acos,train,ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .,['SERVICE#GENERAL'],['Service'],['negative'],['cart attendant'],[False],1,False,False
acos_train_00013,acos,train,i had to ask her three times before she finally came back with the dish ive requested .,['SERVICE#GENERAL'],['Service'],['negative'],[None],[True],1,True,False
acos_train_00014,acos,train,"food was okay , nothing great .","['FOOD#QUALITY', 'FOOD#QUALITY']","['Food', 'Food']","['neutral', 'neutral']","['food', 'food']","[False, False]",2,False,False
acos_train_00015,acos,train,chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .,"['FOOD#QUALITY', 'FOOD#QUALITY', 'AMBIENCE#GENERAL', 'AMBIENCE#GENERAL']","['Food', 'Food', 'Ambience', 'Ambience']","['negative', 'negative', 'negative', 'negative']","['chow fun', 'pork shu mai', None, None]","[False, False, True, True]",4,True,False
acos_train_00016,acos,train,i / we will never go back to this place again .,['RESTAURANT#GENERAL'],['General'],['negative'],['place'],[False],1,False,False
acos_train_00017,acos,train,"went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !","['RESTAURANT#GENERAL', 'RESTAURANT#GENERAL']","['General', 'General']","['positive', 'positive']","['fish', None]","[False, True]",2,True,False
acos_train_00018,acos,train,"service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! !","['SERVICE#GENERAL', 'FOOD#QUALITY', 'RESTAURANT#PRICES']","['Service', 'Food', 'Price']","['positive', 'positive', 'positive']","['service', 'oysters', None]","[False, False, True]",3,True,False
acos_train_00019,acos,train,you ca n ' t go wrong here .,['RESTAURANT#GENERAL'],['General'],['positive'],[None],[True],1,True,False
acos_train_00020,acos,train,every time in new york i make it a point to visit restaurant saul on smith street .,['RESTAURANT#GENERAL'],['General'],['positive'],['restaurant saul'],[False],1,False,False
acos_train_00021,acos,train,"everything is always cooked to perfection , the service is excellent , the decor cool and understated .","['SERVICE#GENERAL', 'AMBIENCE#GENERAL', 'AMBIENCE#GENERAL', 'FOOD#QUALITY']","['Service', 'Ambience', 'Ambience', 'Food']","['positive', 'positive', 'positive', 'positive']","['service', 'decor', 'decor', None]","[False, False, False, True]",4,True,False
acos_train_00022,acos,train,i had the duck breast special on my last visit and it was incredible .,['FOOD#QUALITY'],['Food'],['positive'],['duck breast special'],[False],1,False,False
acos_train_00023,acos,train,and i hate to say this but i doubt i ' ll ever go back .,['RESTAURANT#GENERAL'],['General'],['negative'],[None],[True],1,True,False
acos_train_00024,acos,train,"the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .","['FOOD#QUALITY', 'FOOD#QUALITY', 'FOOD#QUALITY']","['Food', 'Food', 'Food']","['negative', 'negative', 'negative']","['food', 'thai fusion stuff', None]","[False, False, True]",3,True,False
acos_train_00025,acos,train,the only thing i moderately enjoyed was their grilled chicken special with edamame puree .,['FOOD#QUALITY'],['Food'],['positive'],['grilled chicken special with edamame puree'],[False],1,False,False
acos_train_00026,acos,train,i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) .,"['FOOD#QUALITY', 'FOOD#STYLE_OPTIONS']","['Food', 'Food']","['positive', 'positive']","['edamame pureed', 'edamame pureed']","[False, False]",2,False,False
acos_train_00027,acos,train,"the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .","['AMBIENCE#GENERAL', 'AMBIENCE#GENERAL', 'AMBIENCE#GENERAL', 'AMBIENCE#GENERAL']","['Ambience', 'Ambience', 'Ambience', 'Ambience']","['negative', 'negative', 'positive', 'negative']","['place', 'place', 'decor', 'vent']","[False, False, False, False]",4,False,True
acos_train_00028,acos,train,we went around 9 : 30 on a friday and it had died down a bit by then so the service was great !,['SERVICE#GENERAL'],['Service'],['positive'],['service'],[False],1,False,False
acos_train_00029,acos,train,the perfect spot .,['RESTAURANT#GENERAL'],['General'],['positive'],['spot'],[False],1,False,False
acos_train_00030,acos,train,food - awesome .,['FOOD#QUALITY'],['Food'],['neutral'],['food'],[False],1,False,False
acos_train_00031,acos,train,service - friendly and attentive .,"['SERVICE#GENERAL', 'SERVICE#GENERAL']","['Service', 'Service']","['positive', 'positive']","['service', 'service']","[False, False]",2,False,False
acos_train_00032,acos,train,ambiance - relaxed and stylish .,"['AMBIENCE#GENERAL', 'AMBIENCE#GENERAL']","['Ambience', 'Ambience']","['positive', 'positive']","['ambiance', 'ambiance']","[False, False]",2,False,False
acos_train_00033,acos,train,"do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .",['RESTAURANT#GENERAL'],['General'],['positive'],['place'],[False],1,False,False
acos_train_00034,acos,train,the food is decent .,['FOOD#QUALITY'],['Food'],['neutral'],['food'],[False],1,False,False
acos_train_00035,acos,train,"however , it ' s the service that leaves a bad taste in my mouth .",['SERVICE#GENERAL'],['Service'],['negative'],['service'],[False],1,False,False
acos_train_00036,acos,train,"i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .",['SERVICE#GENERAL'],['Service'],['negative'],['waiter'],[False],1,False,False
acos_train_00037,acos,train,"i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .","['SERVICE#GENERAL', 'SERVICE#GENERAL']","['Service', 'Service']","['negative', 'negative']","[None, None]","[True, True]",2,True,False
acos_train_00038,acos,train,"well , i did n ' t find it there , and trust , i have told everyone i can think of about my experience .",['RESTAURANT#GENERAL'],['General'],['negative'],[None],[True],1,True,False
acos_train_00039,acos,train,the last time i walked by it looked pretty empty . hmmm .,['RESTAURANT#MISCELLANEOUS'],['General'],['negative'],[None],[True],1,True,False
acos_train_00040,acos,train,i had a great experience .,['RESTAURANT#GENERAL'],['General'],['positive'],[None],[True],1,True,False
acos_train_00041,acos,train,food is great .,['FOOD#QUALITY'],['Food'],['positive'],['food'],[False],1,False,False
acos_train_00042,acos,train,service is top notch .,['SERVICE#GENERAL'],['Service'],['positive'],['service'],[False],1,False,False
acos_train_00043,acos,train,i have been going back again and again .,['RESTAURANT#GENERAL'],['General'],['positive'],[None],[True],1,True,False
acos_train_00044,acos,train,"it melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .",['FOOD#QUALITY'],['Food'],['positive'],[None],[True],1,True,False
acos_train_00045,acos,train,the sushi seemed pretty fresh and was adequately proportioned .,"['FOOD#QUALITY', 'FOOD#STYLE_OPTIONS']","['Food', 'Food']","['positive', 'positive']","['sushi', 'sushi']","[False, False]",2,False,False
acos_train_00046,acos,train,the rice to fish ration was also good - - they did n ' t try to overpack the rice .,['FOOD#STYLE_OPTIONS'],['Food'],['positive'],['rice to fish ration'],[False],1,False,False
acos_train_00047,acos,train,we took advanatage of the half price sushi deal on saturday so it was well worth it .,['FOOD#QUALITY'],['Food'],['positive'],['half price sushi deal'],[False],1,False,False
acos_train_00048,acos,train,surprisingly nothing could be further from the truth .,['RESTAURANT#MISCELLANEOUS'],['General'],['positive'],[None],[True],1,True,False
acos_train_00049,acos,train,"in the evening , this place attracted a well dressed , with it , ny crowd .",['RESTAURANT#MISCELLANEOUS'],['General'],['positive'],['crowd'],[False],1,False,False
