sample_id,source,split,text,categories_fine,categories_coarse,sentiments,aspect_terms,is_implicit_flags,num_aspects,has_implicit,has_conflict,consistency_score,mode
synthetic_000000,yelp,train,Horrible customer service from......no other than Alam the manager.  Then to top it off they didn't put the lid on but instead just placed it on top! I grab my coffee and turn around to leave and of course pop goes the lid and hot coffee pour out all over my arm hand and legs!!  Sorry alam but it's time to find a better career maybe pizza delivery boy?!?,"['SERVICE#GENERAL', 'SERVICE#GENERAL']","['Service', 'Service']","['negative', 'negative']","['customer service', None]","[False, True]",2,True,False,,label
synthetic_000001,yelp,train,"Do yourself a favor and never ever order the breaded chicken. It was served black, extremely overcooked to the point where I started to question what kind of meat it actually was. As far as the texture - it would make a nice hockey puck for the NHL. It definitely might not be one of their more common orders but take it off the menu if you have no idea how to make it.",['FOOD#QUALITY'],['Food'],['negative'],['breaded chicken'],[False],1,False,False,,label
synthetic_000002,yelp,train,The margarita tasted like lemonade. It was AWFUL and tasted like it had no tequila in it at all. I asked to either switch it out for something else or for them to remake it and they wouldn't do either. I won't ever be back! Terrible service.,"['DRINKS#QUALITY', 'SERVICE#GENERAL']","['Food', 'Service']","['negative', 'negative']","['margarita', 'service']","[False, False]",2,False,False,,label
synthetic_000003,yelp,train,"At 6:03pm, the PSTA Driver sped through the Marina, not even bothering to slow down to pickup the Passengers, which there were 9 Passengers waiting. That Driver (a White Guy, just to narrow it down) should be Fired Immediately!",['SERVICE#GENERAL'],['Service'],['negative'],['Driver'],[False],1,False,False,,label
synthetic_000004,yelp,train,"Ordered the veggie pho for takeout... The amount of veggies is nice and a lot more than you get with veggie pho from other places, but the broth is very fishy smelling and tasting.","['FOOD#QUALITY', 'FOOD#QUALITY']","['Food', 'Food']","['positive', 'negative']","['amount of veggies', 'broth']","[False, False]",2,False,True,,label
synthetic_000005,yelp,train,"They must have thought it was my first time!? Salmon smelled horrible and was sweating... After losing my appetite I sent the food back, paid for my beer and left!",['FOOD#QUALITY'],['Food'],['negative'],['Salmon'],[False],1,False,False,,label
synthetic_000006,yelp,train,"No service, waited 20 minutes for someone to approach the table. When asked if there was service I received a shrug from the host.",['SERVICE#GENERAL'],['Service'],['negative'],['service'],[False],1,False,False,,label
synthetic_000007,yelp,train,Great food & pleasant service.  Would order any of our dishes again & staff Robert & Gregory were both very entertaining but not overbearing.,"['FOOD#QUALITY', 'SERVICE#GENERAL', 'SERVICE#GENERAL']","['Food', 'Service', 'Service']","['positive', 'positive', 'positive']","['food', 'service', 'staff Robert & Gregory']","[False, False, False]",3,False,False,,label
synthetic_000008,yelp,train,"Came in at 9:59 am when they open at 10 am, door was unlocked and everything but they lady was very rude and told us they weren't open. Walked out a couple steps turned around and she had flicked the open sign on. Decided not to walk back because of the poor customer service.",['SERVICE#GENERAL'],['Service'],['negative'],['customer service'],[False],1,False,False,,label
synthetic_000009,yelp,train,"Absolutely amazing! Must get the black garlic wings - they are to die for! My brisket ramen was delicious as well, I can not wait to come back!","['FOOD#QUALITY', 'FOOD#QUALITY']","['Food', 'Food']","['positive', 'positive']","['black garlic wings', 'brisket ramen']","[False, False]",2,False,False,,label
