sample_id,source,split,text,categories_fine,categories_coarse,sentiments,aspect_terms,is_implicit_flags,num_aspects,has_implicit,has_conflict
combined_train_000000,semeval14,train,But the staff was so horrible to us .,['staff'],['Service'],['negative'],['staff'],[False],1,False,False
combined_train_000001,semeval14,train,"To be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of Teodora .",['food'],['Food'],['positive'],['food'],[False],1,False,False
combined_train_000002,semeval14,train,"The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",['food'],['Food'],['positive'],['food'],[False],1,False,False
combined_train_000003,semeval14,train,"The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",['kitchen'],['General'],['positive'],['kitchen'],[False],1,False,False
combined_train_000004,semeval14,train,"The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",['menu'],['General'],['neutral'],['menu'],[False],1,False,False
combined_train_000005,semeval14,train,"Not only was the food outstanding , but the little ` perks ' were great .",['food'],['Food'],['positive'],['food'],[False],1,False,False
combined_train_000006,semeval14,train,"Not only was the food outstanding , but the little ' perks ' were great .",['perks'],['General'],['positive'],['perks'],[False],1,False,False
combined_train_000007,semeval14,train,Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the waiters are kind enough to split the dish in half so you get to sample both meats -RRB- .,['orrechiete with sausage and chicken'],['General'],['positive'],['orrechiete with sausage and chicken'],[False],1,False,False
combined_train_000008,semeval14,train,Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the waiters are kind enough to split the dish in half so you get to sample both meats -RRB- .,['waiters'],['General'],['positive'],['waiters'],[False],1,False,False
combined_train_000009,semeval14,train,Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the waiters are kind enough to split the dish in half so you get to sample both meats -RRB- .,['meats'],['General'],['neutral'],['meats'],[False],1,False,False
combined_train_000010,semeval14,train,Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the waiters are kind enough to split the dish in half so you get to sample both meats -RRB- .,['dish'],['General'],['neutral'],['dish'],[False],1,False,False
combined_train_000011,semeval14,train,"The Bagels have an outstanding taste with a terrific texture , both chewy yet not gummy .",['bagels'],['General'],['positive'],['Bagels'],[False],1,False,False
combined_train_000012,semeval14,train,Nevertheless the food itself is pretty good .,['food'],['Food'],['positive'],['food'],[False],1,False,False
combined_train_000013,semeval14,train,"i 've noticed megadeth , mr. scruff , st. germain , traditional vietnamese songs , black sabbath , jay-z , and daft punk all being played .",['songs'],['General'],['neutral'],['songs'],[False],1,False,False
combined_train_000014,semeval14,train,"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",['toast'],['General'],['negative'],['toast'],[False],1,False,False
combined_train_000015,semeval14,train,"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",['mayonnaise'],['General'],['negative'],['mayonnaise'],[False],1,False,False
combined_train_000016,semeval14,train,"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",['bacon'],['General'],['negative'],['bacon'],[False],1,False,False
combined_train_000017,semeval14,train,"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",['cheese'],['General'],['neutral'],['cheese'],[False],1,False,False
combined_train_000018,semeval14,train,"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",['ingredients'],['General'],['negative'],['ingredients'],[False],1,False,False
combined_train_000019,semeval14,train,"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",['plate'],['General'],['neutral'],['plate'],[False],1,False,False
combined_train_000020,semeval14,train,"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",['omelet'],['General'],['neutral'],['omelet'],[False],1,False,False
combined_train_000021,semeval14,train,"It took half an hour to get our check , which was perfect since we could sit , have drinks and talk !",['drinks'],['Food'],['neutral'],['drinks'],[False],1,False,False
combined_train_000022,semeval14,train,"It took half an hour to get our check , which was perfect since we could sit , have drinks and talk !",['check'],['General'],['neutral'],['check'],[False],1,False,False
combined_train_000023,semeval14,train,The design and atmosphere is just as good .,['design'],['General'],['positive'],['design'],[False],1,False,False
combined_train_000024,semeval14,train,The design and atmosphere is just as good .,['atmosphere'],['General'],['positive'],['atmosphere'],[False],1,False,False
combined_train_000025,semeval14,train,He has visited Thailand and is quite expert on the cuisine .,['cuisine'],['General'],['positive'],['cuisine'],[False],1,False,False
combined_train_000026,semeval14,train,The pizza is the best if you like thin crusted pizza .,['pizza'],['General'],['positive'],['pizza'],[False],1,False,False
combined_train_000027,semeval14,train,The pizza is the best if you like thin crusted pizza .,['thin crusted pizza'],['General'],['neutral'],['thin crusted pizza'],[False],1,False,False
