sample_id,source,split,text,categories_fine,categories_coarse,sentiments,aspect_terms,is_implicit_flags,num_aspects,has_implicit,has_conflict
mams_train_00000,mams,train,"It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.","['food', 'place']","['Food', 'General']","['positive', 'neutral']","[None, None]","[False, False]",2,False,True
mams_train_00001,mams,train,Hostess was extremely accommodating when we arrived an hour early for our reservation.,"['staff', 'miscellaneous']","['Service', 'General']","['positive', 'neutral']","[None, None]","[False, False]",2,False,True
mams_train_00002,mams,train,"We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.","['miscellaneous', 'staff']","['General', 'Service']","['neutral', 'negative']","[None, None]","[False, False]",2,False,True
mams_train_00003,mams,train,"Though the service might be a little slow, the waitresses are very friendly.","['service', 'staff']","['Service', 'Service']","['negative', 'positive']","[None, None]","[False, False]",2,False,True
mams_train_00004,mams,train,"Although we arrived at the restaurant 10 min late, the hostess did not have a table for us.","['staff', 'miscellaneous']","['Service', 'General']","['negative', 'neutral']","[None, None]","[False, False]",2,False,True
mams_train_00005,mams,train,I like the smaller portion size for dinner.,"['miscellaneous', 'food']","['General', 'Food']","['negative', 'neutral']","[None, None]","[False, False]",2,False,True
mams_train_00006,mams,train,"The bill was surprisingly inexpensive considering we each had appetizers, an entree, dessert and drinks (alcoholic and non) we also had 3 rounds of shots for the entire table.","['food', 'price', 'miscellaneous']","['Food', 'Price', 'General']","['neutral', 'positive', 'neutral']","[None, None, None]","[False, False, False]",3,False,True
mams_train_00007,mams,train,") other food is served in too-small portions, but at least it leaves room for dessert.","['miscellaneous', 'food']","['General', 'Food']","['negative', 'neutral']","[None, None]","[False, False]",2,False,True
mams_train_00008,mams,train,"It was very loud, I felt too crowded, the man chair's next to me made it impossible for the waiters to pass.","['miscellaneous', 'staff']","['General', 'Service']","['neutral', 'negative']","[None, None]","[False, False]",2,False,True
mams_train_00009,mams,train,"After ordering drinks, we both decided on the Paella Vallenciana, brought out on hot plates.","['food', 'miscellaneous']","['Food', 'General']","['neutral', 'positive']","[None, None]","[False, False]",2,False,True
mams_train_00010,mams,train,Portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.,"['miscellaneous', 'staff', 'food']","['General', 'Service', 'Food']","['positive', 'positive', 'neutral']","[None, None, None]","[False, False, False]",3,False,True
mams_train_00011,mams,train,I had to ask for bread for the table (several times).,"['food', 'miscellaneous']","['Food', 'General']","['negative', 'neutral']","[None, None]","[False, False]",2,False,True
mams_train_00012,mams,train,"Specialty drinks--alcoholic and non--arrive in skull mugs or mini-canteens, nifty take-home souvenirs.","['food', 'miscellaneous']","['Food', 'General']","['neutral', 'positive']","[None, None]","[False, False]",2,False,True
mams_train_00013,mams,train,After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.,"['service', 'staff']","['Service', 'Service']","['negative', 'positive']","[None, None]","[False, False]",2,False,True
mams_train_00014,mams,train,I was told by the hostess that a specific table would be mine once the customers left and I waited 45 minutes for that to happen.,"['staff', 'miscellaneous']","['Service', 'General']","['negative', 'neutral']","[None, None]","[False, False]",2,False,True
mams_train_00015,mams,train,"Towards the end of our meal, a server came out, apparently our orders had been double-filled.","['food', 'staff']","['Food', 'Service']","['neutral', 'negative']","[None, None]","[False, False]",2,False,True
mams_train_00016,mams,train,"The Food The casual Middle Eastern menu looks familar, but the food--made to order in the open kitchen--is a notch above its peers.","['menu', 'place']","['General', 'General']","['positive', 'neutral']","[None, None]","[False, False]",2,False,True
